activity_id;date;distance_in_m;split_no;average_speed_formatted;adjusted_grade_speed_formatted;average_speed;adjusted_grade_speed;elevation_difference_in_m;location;activity_type;pace_zone
9266575023;2023-06-14 19:31:17+00:00;1001,5;2;04:18;04:29;0 days 00:04:18.785530;0 days 00:04:29.220430;-19,9;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1001,9;10;04:18;04:19;0 days 00:04:18.888889;0 days 00:04:19.559585;-2,6;Austria;Run;Zone4
10152810766;2023-11-03 12:06:03+00:00;1002,1;3;04:18;04:18;0 days 00:04:18.940568;0 days 00:04:18.940568;-1,1;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;999,8;21;04:19;04:19;0 days 00:04:19.015544;0 days 00:04:19.688312;-1,8;Austria;Run;Zone4
9502082469;2023-07-22 18:40:44+00:00;999,9;2;04:19;04:19;0 days 00:04:19.041451;0 days 00:04:19.714286;-2,6;Austria;Run;Zone4
9875739467;2023-09-18 20:07:53+00:00;997,5;3;04:19;04:18;0 days 00:04:19.090909;0 days 00:04:18.419689;0,6;Austria;Run;Zone4
10177472132;2023-11-07 15:45:19+00:00;997,8;15;04:19;04:02;0 days 00:04:19.168831;0 days 00:04:02.773723;15,5;Austria;Run;Zone4
9757548261;2023-08-31 17:33:26+00:00;1000,6;3;04:19;04:19;0 days 00:04:19.222798;0 days 00:04:19.896104;-2,9;Austria;Run;Zone4
9693952970;2023-08-21 18:52:31+00:00;1000,7;3;04:19;04:19;0 days 00:04:19.248705;0 days 00:04:19.922078;-5,0;Austria;Run;Zone4
10256025834;2023-11-21 08:59:57+00:00;1000,8;30;04:19;04:20;0 days 00:04:19.274611;0 days 00:04:20.625000;-4,2;Austria;Run;Zone4
9502082469;2023-07-22 18:40:44+00:00;1000,9;4;04:19;04:18;0 days 00:04:19.300518;0 days 00:04:18.630491;0,2;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;994,7;27;04:19;04:19;0 days 00:04:19.712794;0 days 00:04:19.036458;2,5;Austria;Run;Zone4
9445222192;2023-07-13 17:33:51+00:00;998,0;5;04:19;04:25;0 days 00:04:19.895833;0 days 00:04:25.425532;-12,8;Austria;Run;Zone4
10217890971;2023-11-14 15:18:19+00:00;1000,9;26;04:19;04:20;0 days 00:04:19.974026;0 days 00:04:20.651042;-1,6;Austria;Run;Zone4
9432968418;2023-07-11 18:46:18+00:00;998,6;3;04:20;04:26;0 days 00:04:20.052083;0 days 00:04:26.293333;-13,0;Austria;Run;Zone4
10256025834;2023-11-21 08:59:57+00:00;998,4;23;04:20;04:17;0 days 00:04:20.678851;0 days 00:04:17.319588;4,9;Austria;Run;Zone4
9757548261;2023-08-31 17:33:26+00:00;1001,1;7;04:20;04:24;0 days 00:04:20.703125;0 days 00:04:24.841270;-8,1;Austria;Run;Zone4
10002621756;2023-10-08 18:31:21+00:00;1001,1;3;04:20;04:04;0 days 00:04:20.703125;0 days 00:04:04.767726;21,9;Austria;Run;Zone4
9782223302;2023-09-04 14:16:40+00:00;998,9;19;04:20;04:20;0 days 00:04:20.809399;0 days 00:04:20.130208;0,7;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;999,1;25;04:20;04:20;0 days 00:04:20.861619;0 days 00:04:20.182292;1,3;Austria;Run;Zone4
9848883738;2023-09-14 16:26:50+00:00;1002,3;2;04:21;04:22;0 days 00:04:21.015625;0 days 00:04:22.382199;-4,8;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1002,3;8;04:21;04:21;0 days 00:04:21.015625;0 days 00:04:21.015625;-0,4;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;999,7;13;04:21;04:20;0 days 00:04:21.018277;0 days 00:04:20.338542;1,7;Austria;Run;Zone4
9432968418;2023-07-11 18:46:18+00:00;1000,2;2;04:21;04:29;0 days 00:04:21.148825;0 days 00:04:29.595687;-17,0;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1000,5;18;04:21;04:20;0 days 00:04:21.227154;0 days 00:04:20.546875;1,5;Austria;Run;Zone4
9693952970;2023-08-21 18:52:31+00:00;1000,6;6;04:21;04:22;0 days 00:04:21.253264;0 days 00:04:22.624672;-4,4;Austria;Run;Zone4
9757548261;2023-08-31 17:33:26+00:00;1000,7;6;04:21;04:21;0 days 00:04:21.279373;0 days 00:04:21.963351;-3,4;Austria;Run;Zone4
9940483859;2023-09-29 00:27:06+00:00;1000,8;3;04:21;04:29;0 days 00:04:21.305483;0 days 00:04:29.032258;-15,8;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1000,9;14;04:21;04:22;0 days 00:04:21.331593;0 days 00:04:22.015707;-3,5;Austria;Run;Zone4
10300060390;2023-11-29 10:43:34+00:00;1000,6;3;04:21;04:19;0 days 00:04:21.937173;0 days 00:04:19.896104;2,6;Austria;Run;Zone4
10256025834;2023-11-21 08:59:57+00:00;1000,7;26;04:21;04:21;0 days 00:04:21.963351;0 days 00:04:21.279373;1,3;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;998,6;15;04:22;04:21;0 days 00:04:22.099738;0 days 00:04:21.413613;1,4;Austria;Run;Zone4
10190343657;2023-11-09 18:28:00+00:00;998,7;13;04:22;04:21;0 days 00:04:22.125984;0 days 00:04:21.439791;1,4;Austria;Run;Zone4
9875797611;2023-09-18 20:37:19+00:00;1001,4;2;04:22;04:19;0 days 00:04:22.146597;0 days 00:04:19.430052;4,2;Austria;Run;Zone4
9568472073;2023-08-02 11:46:34+00:00;1001,4;6;04:22;04:22;0 days 00:04:22.146597;0 days 00:04:22.834646;-2,6;Austria;Run;Zone4
9432968418;2023-07-11 18:46:18+00:00;1001,6;10;04:22;04:21;0 days 00:04:22.198953;0 days 00:04:21.514360;0,9;Austria;Run;Zone4
10269736033;2023-11-23 17:24:49+00:00;999,0;5;04:22;04:22;0 days 00:04:22.204724;0 days 00:04:22.894737;-3,2;Austria;Run;Zone4
10190343657;2023-11-09 18:28:00+00:00;999,0;9;04:22;04:22;0 days 00:04:22.204724;0 days 00:04:22.204724;0,1;Austria;Run;Zone4
10190343657;2023-11-09 18:28:00+00:00;1001,8;10;04:22;04:21;0 days 00:04:22.251309;0 days 00:04:21.566580;0,5;Austria;Run;Zone4
10066638078;2023-10-19 11:39:57+00:00;1000,8;6;04:22;04:25;0 days 00:04:22.677165;0 days 00:04:25.464191;-6,3;Austria;Run;Zone4
9615176086;2023-08-09 17:46:39+00:00;1001,0;5;04:22;04:25;0 days 00:04:22.729659;0 days 00:04:25.517241;-6,3;Austria;Run;Zone4
9824800816;2023-09-10 21:17:28+00:00;999,5;11;04:23;04:19;0 days 00:04:23.026316;0 days 00:04:19.610390;5,0;Austria;Run;Zone4
10090089250;2023-10-23 11:20:30+00:00;999,5;30;04:23;04:23;0 days 00:04:23.026316;0 days 00:04:23.026316;0,7;Austria;Run;Zone4
9445222192;2023-07-13 17:33:51+00:00;1000,0;4;04:23;04:31;0 days 00:04:23.157895;0 days 00:04:31.739130;-17,3;Austria;Run;Zone4
10024936764;2023-10-12 12:36:40+00:00;997,4;2;04:23;04:22;0 days 00:04:23.166227;0 days 00:04:22.473684;0,4;Austria;Run;Zone4
10090089250;2023-10-23 11:20:30+00:00;1000,1;21;04:23;04:19;0 days 00:04:23.184211;0 days 00:04:19.766234;-3,1;Austria;Run;Zone4
10024936764;2023-10-12 12:36:40+00:00;1000,2;3;04:23;04:22;0 days 00:04:23.210526;0 days 00:04:22.519685;0,8;Austria;Run;Zone4
9339347850;2023-06-26 17:48:08+00:00;1003,1;5;04:23;04:22;0 days 00:04:23.280840;0 days 00:04:22.591623;-2,1;Austria;Run;Zone4
10251272975;2023-11-20 13:13:01+00:00;1002,0;14;04:23;04:18;0 days 00:04:23.684211;0 days 00:04:18.914729;7,7;Austria;Run;Zone4
10090089250;2023-10-23 11:20:30+00:00;1002,0;22;04:23;04:25;0 days 00:04:23.684211;0 days 00:04:25.079365;-1,8;Austria;Run;Zone4
9339347850;2023-06-26 17:48:08+00:00;999,4;3;04:23;04:24;0 days 00:04:23.693931;0 days 00:04:24.391534;-0,7;Austria;Run;Zone4
